-10	-0.0544021
-9	0.0457909
-8	0.12367
-7	0.0938552
-6	-0.0465692
-5	-0.191785
-4	-0.189201
-3	0.04704
-2	0.454649
-1	0.841471
0	1
1	0.841471
2	0.454649
3	0.04704
4	-0.189201
5	-0.191785
6	-0.0465692
7	0.0938552
8	0.12367
9	0.0457909
10	-0.0544021
11	-0.0909082
12	-0.0447144
13	0.0323205
14	0.0707577
15	0.0433525
16	-0.017994
17	-0.0565528
18	-0.0417215
19	0.00788827
20	0.0456473
21	0.0398407
22	-0.000402332
23	-0.0367922
24	-0.0377324
25	-0.00529407
26	0.0293292
27	0.0354213
28	0.00967521
29	-0.0228839
30	-0.0329344
